"word","partOfSpeech","definition","exampleSentence","sourceGroup"
"cartographer","noun","a person who makes maps","The word cartographer refers to a person who makes maps, and that meaning fits the scene.","Unit 06"
"castigate","verb","to criticize or punish severely","To castigate means to criticize or punish severely, so the group chose to castigate before the problem became worse.","Unit 10"
"cataclysm","noun","a violent upheaval","The word cataclysm refers to a violent upheaval, and that meaning fits the scene.","Unit 09"
"catalyze","verb","to charge, inspire","To catalyze means to charge, inspire, so the group chose to catalyze before the problem became worse.","Unit 25"
"catastrophic","adjective","extremely harmful; disastrous","Someone who is catastrophic is extremely harmful; disastrous, and the character seemed exactly that.","Unit 40"
"cathartic","adjective","inducing a release of tense emotions","Someone who is cathartic is inducing a release of tense emotions, and the character seemed exactly that.","Unit 43"
"caucus","noun","a meeting usually held by people working toward the same goal","The word caucus refers to a meeting usually held by people working toward the same goal, and that meaning fits the scene.","Unit 35"
"caustic","adjective","burning or stinging","Someone who is caustic is burning or stinging, and the character seemed exactly that.","Unit 23"
"cavalier","noun","a man who is chivalrous and gallant","The word cavalier refers to a man who is chivalrous and gallant, and that meaning fits the scene.","Unit 27"
"cavort","verb","to leap about, behave boisterously","To cavort means to leap about, behave boisterously, so the group chose to cavort before the problem became worse.","Unit 11"
"censure","noun","strong disapproval","The word censure refers to strong disapproval, and that meaning fits the scene.","Unit 04"
"cerebral","adjective","involving intelligence rather than emotions or instinct Although Sarah was so angry that she wanted to quit her job, she decided to take a cerebral approach and weigh the costs before making a decision","Someone who is cerebral is involving intelligence rather than emotions or instinct Although Sarah was so angry that she wanted to quit her job, she decided to take a cerebral approach and weigh the costs before making a decision, and the character seemed exactly that.","Unit 16"
"chaos","noun","absolute disorder","The word chaos refers to absolute disorder, and that meaning fits the scene.","Unit 11"
"charlatan","noun","a person who falsely claims to possess skills or knowledge; an imposter","The word charlatan refers to a person who falsely claims to possess skills or knowledge; an imposter, and that meaning fits the scene.","Unit 21"
"chastise","verb","to criticize severely","To chastise means to criticize severely, so the group chose to chastise before the problem became worse.","Unit 44"
"cherish","verb","to feel or show affection toward something","To cherish means to feel or show affection toward something, so the group chose to cherish before the problem became worse.","Unit 03"
"chicanery","noun","the use of tricks to deceive someone","The word chicanery refers to the use of tricks to deceive someone, and that meaning fits the scene.","Unit 06"
"chide","verb","to voice disapproval","To chide means to voice disapproval, so the group chose to chide before the problem became worse.","Unit 18"
"choreography","noun","the arrangement of dances","The word choreography refers to the arrangement of dances, and that meaning fits the scene.","Unit 04"
"chronicler","noun","a person who keeps a record of events","The word chronicler refers to a person who keeps a record of events, and that meaning fits the scene.","Unit 34"
"chronological","adjective","arranged in order of time","Someone who is chronological is arranged in order of time, and the character seemed exactly that.","Unit 46"
"churlish","adjective","rude and vulgar","Someone who is churlish is rude and vulgar, and the character seemed exactly that.","Unit 40"
"circuitous","adjective","roundabout","Someone who is circuitous is roundabout, and the character seemed exactly that.","Unit 08"
"circumlocution","noun","an indirect way of expressing something","The word circumlocution refers to an indirect way of expressing something, and that meaning fits the scene.","Unit 03"
"circumscribed","adjective","restricted","Someone who is circumscribed is restricted, and the character seemed exactly that.","Unit 42"
"circumspect","adjective","cautious","Someone who is circumspect is cautious, and the character seemed exactly that.","Unit 26"
"circumvent","verb","to get around","To circumvent means to get around, so the group chose to circumvent before the problem became worse.","Unit 45"
"civic","adjective","Relating to the city or citizens","Someone who is civic is relating to the city or citizens, and the character seemed exactly that.","Unit 40"
"clairvoyant","noun","a person who can see the supernatural, such as spirits or the future","The word clairvoyant refers to a person who can see the supernatural, such as spirits or the future, and that meaning fits the scene.","Unit 19"
"clandestine","adjective","secret","Someone who is clandestine is secret, and the character seemed exactly that.","Unit 13"
"clarity","noun","clearness","The word clarity refers to clearness, and that meaning fits the scene.","Unit 41"
"clemency","noun","mercy","The word clemency refers to mercy, and that meaning fits the scene.","Unit 43"
